Record Length,2500,Points,-7.440000307E-3,-81.599995494E-3,,Record Length,2500,Points,-7.440000307E-3,-39.20000046E-3,
Sample Interval,3.99999999E-6,s,-7.436000276E-3,-80.799996853E-3,,Sample Interval,3.99999999E-6,s,-7.436000276E-3,-39.20000046E-3,
Trigger Point,1.8600002E3,Samples,-7.432000246E-3,-80.799996853E-3,,Trigger Point,1.8600002E3,Samples,-7.432000246E-3,-39.20000046E-3,
,,,-7.428000215E-3,-80.799996853E-3,,,,,-7.428000215E-3,-39.20000046E-3,
,,,-7.424000185E-3,-80.799996853E-3,,,,,-7.424000185E-3,-39.20000046E-3,
,,,-7.420000155E-3,-80.799996853E-3,,,,,-7.420000155E-3,-39.20000046E-3,
Source,CH1,,-7.416000124E-3,-80.799996853E-3,,Source,CH2,,-7.416000124E-3,-39.20000046E-3,
Vertical Units,Volts,,-7.412000094E-3,-80.799996853E-3,,Vertical Units,Volts,,-7.412000094E-3,-39.20000046E-3,
Vertical Scale,20.47812448E-3,,-7.408000529E-3,-79.999998212E-3,,Vertical Scale,20.47812448E-3,,-7.408000529E-3,-39.20000046E-3,
Vertical Offset,0,,-7.404000498E-3,-79.999998212E-3,,Vertical Offset,0,,-7.404000498E-3,-39.20000046E-3,
Horizontal Units,s,,-7.400000468E-3,-79.999998212E-3,,Horizontal Units,s,,-7.400000468E-3,-39.20000046E-3,
Horizontal Scale,1.000000E-3,,-7.396000437E-3,-79.999998212E-3,,Horizontal Scale,1.000000E-3,,-7.396000437E-3,-39.20000046E-3,
Pt Fmt,Y,,-7.392000407E-3,-79.999998212E-3,,Pt Fmt,Y,,-7.392000407E-3,-39.20000046E-3,
Yzero,-585.991149092E-3,,-7.38800038E-3,-79.999998212E-3,,Yzero,-3.00808790,,-7.38800038E-3,-39.20000046E-3,
Probe Atten,1.000000,,-7.38400035E-3,-79.999998212E-3,,Probe Atten,1.000000,,-7.38400035E-3,-39.20000046E-3,
,,,-7.38000032E-3,-79.199999571E-3,,,,,-7.38000032E-3,-39.20000046E-3,
Note, - 10:01:32 a.m.   11/06/2019,,-7.37600029E-3,-79.199999571E-3,,Note, - 10:01:32 a.m.   11/06/2019,,-7.37600029E-3,-39.20000046E-3,
,,,-7.37200025E-3,-79.199999571E-3,,,,,-7.37200025E-3,-39.20000046E-3,
,,,-7.36800022E-3,-79.199999571E-3,,,,,-7.36800022E-3,-39.20000046E-3,
,,,-7.36400019E-3,-79.199999571E-3,,,,,-7.36400019E-3,-39.20000046E-3,
,,,-7.36000016E-3,-79.199999571E-3,,,,,-7.36000016E-3,-39.20000046E-3,
,,,-7.35600013E-3,-79.199999571E-3,,,,,-7.35600013E-3,-39.20000046E-3,
,,,-7.35200010E-3,-78.400000930E-3,,,,,-7.35200010E-3,-39.20000046E-3,
,,,-7.34800054E-3,-78.400000930E-3,,,,,-7.34800054E-3,-39.20000046E-3,
,,,-7.34400051E-3,-78.400000930E-3,,,,,-7.34400051E-3,-39.20000046E-3,
,,,-7.34000048E-3,-78.400000930E-3,,,,,-7.34000048E-3,-39.20000046E-3,
,,,-7.33600045E-3,-78.400000930E-3,,,,,-7.33600045E-3,-39.20000046E-3,
,,,-7.33200042E-3,-78.400000930E-3,,,,,-7.33200042E-3,-39.20000046E-3,
,,,-7.32800039E-3,-77.599994838E-3,,,,,-7.32800039E-3,-39.20000046E-3,
,,,-7.32400035E-3,-77.599994838E-3,,,,,-7.32400035E-3,-39.20000046E-3,
,,,-7.32000032E-3,-77.599994838E-3,,,,,-7.32000032E-3,-39.20000046E-3,
,,,-7.31600029E-3,-77.599994838E-3,,,,,-7.31600029E-3,-39.20000046E-3,
,,,-7.31200026E-3,-77.599994838E-3,,,,,-7.31200026E-3,-39.20000046E-3,
,,,-7.30800023E-3,-77.599994838E-3,,,,,-7.30800023E-3,-39.20000046E-3,
,,,-7.30400020E-3,-77.599994838E-3,,,,,-7.30400020E-3,-39.20000046E-3,
