Record Length,2500,Points,43.43999922E-3,-3.99999972E-3,,Record Length,2500,Points,43.43999922E-3,-5.59999980E-3,
Sample Interval,2.0000000E-6,s,43.44199970E-3,-3.99999972E-3,,Sample Interval,2.0000000E-6,s,43.44199970E-3,-5.59999980E-3,
Trigger Point,-21.72000070E3,Samples,43.44400018E-3,-3.99999972E-3,,Trigger Point,-21.72000070E3,Samples,43.44400018E-3,-5.59999980E-3,
,,,43.44600067E-3,-3.99999972E-3,,,,,43.44600067E-3,-5.59999980E-3,
,,,43.44799742E-3,-3.99999972E-3,,,,,43.44799742E-3,-5.59999980E-3,
,,,43.44999790E-3,-3.99999972E-3,,,,,43.44999790E-3,-5.59999980E-3,
Source,CH1,,43.45199838E-3,-3.99999972E-3,,Source,CH2,,43.45199838E-3,-5.59999980E-3,
Vertical Units,Volts,,43.45399886E-3,-3.99999972E-3,,Vertical Units,Volts,,43.45399886E-3,-5.59999980E-3,
Vertical Scale,20.47812448E-3,,43.45599934E-3,-3.99999972E-3,,Vertical Scale,20.47812448E-3,,43.45599934E-3,-5.59999980E-3,
Vertical Offset,0,,43.45799983E-3,-3.99999972E-3,,Vertical Offset,0,,43.45799983E-3,-5.59999980E-3,
Horizontal Units,s,,43.46000031E-3,-3.99999972E-3,,Horizontal Units,s,,43.46000031E-3,-5.59999980E-3,
Horizontal Scale,499.999998738E-6,,43.46200079E-3,-3.99999972E-3,,Horizontal Scale,499.999998738E-6,,43.46200079E-3,-5.59999980E-3,
Pt Fmt,Y,,43.46399754E-3,-3.99999972E-3,,Pt Fmt,Y,,43.46399754E-3,-5.59999980E-3,
Yzero,-976.651915153E-3,,43.46599802E-3,-3.19999992E-3,,Yzero,-664.123302304E-3,,43.46599802E-3,-5.59999980E-3,
Probe Atten,1.000000,,43.46799850E-3,-3.19999992E-3,,Probe Atten,1.000000,,43.46799850E-3,-4.79999976E-3,
,,,43.46999899E-3,-3.99999972E-3,,,,,43.46999899E-3,-5.59999980E-3,
Note, - 10:13:23 a.m.   11/06/2019,,43.47199947E-3,-3.19999992E-3,,Note, - 10:13:23 a.m.   11/06/2019,,43.47199947E-3,-5.59999980E-3,
,,,43.47399995E-3,-3.19999992E-3,,,,,43.47399995E-3,-5.59999980E-3,
,,,43.47600043E-3,-3.19999992E-3,,,,,43.47600043E-3,-5.59999980E-3,
,,,43.47800091E-3,-3.19999992E-3,,,,,43.47800091E-3,-4.79999976E-3,
,,,43.47999766E-3,-3.19999992E-3,,,,,43.47999766E-3,-4.79999976E-3,
,,,43.48199815E-3,-3.19999992E-3,,,,,43.48199815E-3,-5.59999980E-3,
,,,43.48399863E-3,-3.19999992E-3,,,,,43.48399863E-3,-5.59999980E-3,
,,,43.48599911E-3,-3.19999992E-3,,,,,43.48599911E-3,-4.79999976E-3,
,,,43.48799959E-3,-3.19999992E-3,,,,,43.48799959E-3,-5.59999980E-3,
,,,43.49000007E-3,-3.19999992E-3,,,,,43.49000007E-3,-4.79999976E-3,
,,,43.49200055E-3,-3.19999992E-3,,,,,43.49200055E-3,-4.79999976E-3,
,,,43.49400103E-3,-3.19999992E-3,,,,,43.49400103E-3,-4.79999976E-3,
,,,43.49599779E-3,-3.19999992E-3,,,,,43.49599779E-3,-4.79999976E-3,
,,,43.49799827E-3,-3.19999992E-3,,,,,43.49799827E-3,-4.79999976E-3,
,,,43.49999875E-3,-3.19999992E-3,,,,,43.49999875E-3,-4.79999976E-3,
,,,43.50199923E-3,-3.19999992E-3,,,,,43.50199923E-3,-4.79999976E-3,
,,,43.50399971E-3,-3.19999992E-3,,,,,43.50399971E-3,-4.79999976E-3,
,,,43.50600019E-3,-3.19999992E-3,,,,,43.50600019E-3,-4.79999976E-3,
,,,43.50800067E-3,-3.19999992E-3,,,,,43.50800067E-3,-4.79999976E-3,
,,,43.50999743E-3,-2.3999999E-3,,,,,43.50999743E-3,-4.79999976E-3,
,,,43.51199791E-3,-3.19999992E-3,,,,,43.51199791E-3,-4.79999976E-3,
,,,43.51399839E-3,-2.3999999E-3,,,,,43.51399839E-3,-4.79999976E-3,
,,,43.51599887E-3,-2.3999999E-3,,,,,43.51599887E-3,-4.79999976E-3,
,,,43.51799935E-3,-2.3999999E-3,,,,,43.51799935E-3,-4.79999976E-3,
,,,43.51999983E-3,-2.3999999E-3,,,,,43.51999983E-3,-4.79999976E-3,
,,,43.52200031E-3,-2.3999999E-3,,,,,43.52200031E-3,-3.99999972E-3,
,,,43.52400079E-3,-2.3999999E-3,,,,,43.52400079E-3,-4.79999976E-3,
,,,43.52599755E-3,-2.3999999E-3,,,,,43.52599755E-3,-4.79999976E-3,
,,,43.52799803E-3,-2.3999999E-3,,,,,43.52799803E-3,-3.99999972E-3,
,,,43.52999851E-3,-2.3999999E-3,,,,,43.52999851E-3,-3.99999972E-3,
,,,43.53199899E-3,-2.3999999E-3,,,,,43.53199899E-3,-3.99999972E-3,
