Record Length,2500,Points,50.34000054E-3,1.6000000E-3,
Sample Interval,2.0000000E-6,s,50.34200102E-3,1.6000000E-3,
Trigger Point,-25.17000153E3,Samples,50.34400150E-3,1.6000000E-3,
,,,50.34600198E-3,799.999979790E-6,
,,,50.34799874E-3,799.999979790E-6,
,,,50.34999922E-3,799.999979790E-6,
Source,MATH,,50.35199970E-3,799.999979790E-6,
Vertical Units,Volts,,50.35400018E-3,1.6000000E-3,
Vertical Scale,20.47812448E-3,,50.35600066E-3,1.6000000E-3,
Vertical Offset,0,,50.35800114E-3,1.6000000E-3,
Horizontal Units,s,,50.36000162E-3,1.6000000E-3,
Horizontal Scale,499.999998738E-6,,50.36200210E-3,1.6000000E-3,
Pt Fmt,Y,,50.36399886E-3,1.6000000E-3,
Yzero,39.06607661E-3,,50.36599934E-3,1.6000000E-3,
,,,50.36799982E-3,1.6000000E-3,
,,,50.37000030E-3,1.6000000E-3,
Note,TDS 1002B - 10:52:31 a.m.   11/06/2019,,50.37200078E-3,1.6000000E-3,
,,,50.37400126E-3,1.6000000E-3,
,,,50.37600175E-3,1.6000000E-3,
,,,50.37800223E-3,1.6000000E-3,
,,,50.37999898E-3,799.999979790E-6,
,,,50.38199946E-3,799.999979790E-6,
,,,50.38399994E-3,799.999979790E-6,
,,,50.38600042E-3,799.999979790E-6,
,,,50.38800091E-3,799.999979790E-6,
,,,50.39000139E-3,1.6000000E-3,
,,,50.39200187E-3,1.6000000E-3,
,,,50.39400235E-3,1.6000000E-3,
,,,50.39599910E-3,1.6000000E-3,
,,,50.39799958E-3,1.6000000E-3,
,,,50.40000007E-3,1.6000000E-3,
,,,50.40200055E-3,1.6000000E-3,
,,,50.40400103E-3,1.6000000E-3,
,,,50.40600151E-3,1.6000000E-3,
,,,50.40800199E-3,1.6000000E-3,
,,,50.40999874E-3,1.6000000E-3,
,,,50.41199923E-3,1.6000000E-3,
,,,50.41399971E-3,1.6000000E-3,
,,,50.41600019E-3,1.6000000E-3,
,,,50.41800067E-3,1.6000000E-3,
,,,50.42000115E-3,799.999979790E-6,
,,,50.42200163E-3,1.6000000E-3,
,,,50.42400211E-3,1.6000000E-3,
,,,50.42599887E-3,1.6000000E-3,
,,,50.42799935E-3,1.6000000E-3,
,,,50.42999983E-3,1.6000000E-3,
,,,50.43200031E-3,1.6000000E-3,
,,,50.43400079E-3,1.6000000E-3,
,,,50.43600127E-3,1.6000000E-3,
,,,50.43800175E-3,1.6000000E-3,
,,,50.44000223E-3,1.6000000E-3,
,,,50.44199899E-3,1.6000000E-3,
,,,50.44399947E-3,1.6000000E-3,
,,,50.44599995E-3,799.999979790E-6,
,,,50.44800043E-3,799.999979790E-6,
,,,50.45000091E-3,1.6000000E-3,
,,,50.45200139E-3,1.6000000E-3,
,,,50.45400187E-3,1.6000000E-3,
,,,50.45600235E-3,1.6000000E-3,
,,,50.45799911E-3,1.6000000E-3,
,,,50.45999959E-3,1.6000000E-3,
,,,50.46200007E-3,1.6000000E-3,
,,,50.46400055E-3,1.6000000E-3,
,,,50.46600103E-3,1.6000000E-3,
,,,50.46800151E-3,1.6000000E-3,
,,,50.47000200E-3,1.6000000E-3,
,,,50.47199875E-3,1.6000000E-3,
,,,50.47399923E-3,1.6000000E-3,
,,,50.47599971E-3,1.6000000E-3,
,,,50.47800019E-3,799.999979790E-6,
,,,50.48000067E-3,1.6000000E-3,
,,,50.48200116E-3,1.6000000E-3,
,,,50.48400164E-3,1.6000000E-3,
,,,50.48600212E-3,1.6000000E-3,
,,,50.48799887E-3,1.6000000E-3,
,,,50.48999935E-3,1.6000000E-3,
,,,50.49199983E-3,1.6000000E-3,
,,,50.49400032E-3,1.6000000E-3,
,,,50.49600080E-3,1.6000000E-3,
,,,50.49800128E-3,1.6000000E-3,
,,,50.50000176E-3,1.6000000E-3,
,,,50.50200224E-3,1.6000000E-3,
,,,50.50399899E-3,1.6000000E-3,
,,,50.50599948E-3,1.6000000E-3,
,,,50.50799996E-3,1.6000000E-3,
,,,50.51000044E-3,2.3999999E-3,
,,,50.51200092E-3,1.6000000E-3,
,,,50.51400140E-3,1.6000000E-3,
,,,50.51600188E-3,1.6000000E-3,
,,,50.51800236E-3,1.6000000E-3,
,,,50.51999912E-3,1.6000000E-3,
,,,50.52199960E-3,1.6000000E-3,
,,,50.52400008E-3,1.6000000E-3,
,,,50.52600056E-3,1.6000000E-3,
,,,50.52800104E-3,1.6000000E-3,
,,,50.53000152E-3,1.6000000E-3,
,,,50.53200200E-3,1.6000000E-3,
,,,50.53399876E-3,1.6000000E-3,
,,,50.53599924E-3,1.6000000E-3,
,,,50.53799972E-3,1.6000000E-3,
,,,50.54000020E-3,2.3999999E-3,
,,,50.54200068E-3,2.3999999E-3,
,,,50.54400116E-3,1.6000000E-3,
,,,50.54600164E-3,1.6000000E-3,
,,,50.54800212E-3,1.6000000E-3,
