#Thorlabs FTS,
[SpectrumHeader],
#Date,20190507
#Time,13185370
#GMTTime,16185370
#XAxisUnit,nm_air
#YAxisUnit,intensity
#Average,1
#RollingAverage,0
#SpectrumSmooth,0
#SSmoothParam1,0
#SSmoothParam2,0
#SSmoothParam3,0
#SSmoothParam4,0
#IntegrationTime,0.200000
#TriggerMode,0
#InterferometerSerial,M00311012
#Source,
#AirMeasureOpt,0
#WnrMin,9801.723633
#WnrMax,50997.769531
#Length,3648
#Resolution,0.0000000000e+000
#ADC,0
#Instrument,0
#InstrModel,CCS200
#Type,emission
#AirTemp,0.00
#AirPressure,0.00
#AirRelHum,0.00
#Name,
#Comment,""
[Data],
X Longitud de onda (nm),Y Intensidad (sin unidades)
1.960870056e+002,1.225867309e-003
1.962940979e+002,3.329086816e-003
1.965012054e+002,1.997756306e-003
1.967083282e+002,7.202556590e-004
1.969154510e+002,3.888455220e-003
1.971225891e+002,6.310713477e-003
1.973297424e+002,2.849975601e-003
1.975368958e+002,4.262392409e-003
1.977440643e+002,4.394453950e-003
1.979512482e+002,5.858581979e-003
1.981584320e+002,2.077718731e-003
1.983656311e+002,3.915139940e-003
1.985728455e+002,1.304816338e-003
1.987800751e+002,3.142274451e-003
1.989873047e+002,2.502520103e-003
1.991945496e+002,4.418337718e-003
1.994018097e+002,1.334103872e-004
1.996090698e+002,4.817744717e-003
1.998163452e+002,4.338780884e-003
2.000236359e+002,2.875702688e-003
2.002309418e+002,2.636589343e-003
2.004382477e+002,5.937383510e-003
2.006455688e+002,4.952329211e-003
2.008528900e+002,1.571627799e-003
2.010602417e+002,4.420917481e-003
2.012675934e+002,7.214663550e-003
2.014749451e+002,3.435310442e-003
2.016823273e+002,2.716993913e-003
2.018897095e+002,2.345064422e-003
2.020971069e+002,3.701329464e-003
2.023045044e+002,3.835693467e-003
2.025119171e+002,1.199477236e-003
2.027193451e+002,1.618086826e-004
2.029267883e+002,-1.144698123e-003
2.031342316e+002,1.613481436e-004
2.033416901e+002,4.312961828e-003
2.035491638e+002,1.758734812e-003
2.037566376e+002,1.490707393e-003
2.039641418e+002,3.407851560e-003
2.041716309e+002,8.785774698e-004
2.043791504e+002,3.806466004e-003
